# Checker roster. Regenerated by scripts/checker_audit.sh --regen.
# Every uvm_error / uvm_fatal / uvm_warning site in tb/uvm, with the
# class a human assigned it. A new site arrives as '?', and '?' is a
# hard failure, so a site cannot enter the environment unclassified.
#
#   STRUCT   testbench wiring: a null interface, a missing config.
#            No RTL change can provoke one.
#   VACUOUS  detects ABSENCE. Provable by removing the stimulus.
#   INSTR    the instrument checking itself.
#   PROGARG  a bad plusarg or program argument.
#   REF      the reference model could not step.
#   DESIGN   a property of the DUT. The mutation-testable target.
#
#   mech     DESIGN rows only: the MECHANISM, because a site is not one.
#   mut      DESIGN rows only: the mutation that PROVED the mechanism
#            can fail. Empty means never shown able to fail, which is
#            a hypothesis. See docs/verification.md: a cell counts as
#            a proof only if a log contains the checker own words.
#
# file|id|fingerprint|class|mech|mut
tb/uvm/sb/sb_coherence.sv|SB_COH|no cpu_cfg|STRUCT||
tb/uvm/sb/sb_coherence.sv|SB_COH|no '%s'. The cache backdoor is BOUND into |STRUCT||
tb/uvm/sb/sb_coherence.sv|SB_COH|unknown snoop response %0d|DESIGN|coh: response/request encoding|
tb/uvm/sb/sb_coherence.sv|SB_COH|unknown request %0d|DESIGN|coh: response/request encoding|
tb/uvm/sb/sb_coherence.sv|SB_COH|SWMR violated on line %08h after %s:%s|DESIGN|coh: SWMR|m6
tb/uvm/sb/sb_coherence.sv|SB_COH|line %08h hart %0d: cache tag_q holds %s b|DESIGN|coh: silent acquire (backdoor vs model)|m6,m9
tb/uvm/sb/sb_coherence.sv|SB_COH|ordering point self-reported a violation: |DESIGN|coh: ordering-point self-report|
tb/uvm/sb/sb_coherence.sv|SB_COH|WRITEBACK of line %08h, which NO hart was |DESIGN|coh: writeback of an unowned line|m18-direct
tb/uvm/sb/sb_coherence.sv|SB_COH|ZERO writebacks observed on a run with coh|VACUOUS||
tb/uvm/sb/sb_coherence.sv|SB_COH|only %0d quiescent samples (< %0d). This s|VACUOUS||
tb/uvm/sb/sb_coherence.sv|SB_COH|%0d transaction(s) completed WITHOUT reach|VACUOUS||
tb/uvm/sb/sb_coherence.sv|SB_COH|the cache backdoor was never read: the sha|INSTR||
tb/uvm/sb/sb_coherence.sv|SB_COH|DISAGREEMENT: ordering point reported %0d |DESIGN|coh: ordering-point self-report|
tb/uvm/sb/sb_csr.sv|SB_CSR|no cpu_cfg|STRUCT||
tb/uvm/sb/sb_csr.sv|SB_CSR|no csr_probe_vif_%0d: the final compare ha|STRUCT||
tb/uvm/sb/sb_csr.sv|SB_CSR|hart %0d #%0d pc=%08h csr 'h%03h read 'h%0|DESIGN|csr: predicted value vs hardware|
tb/uvm/sb/sb_csr.sv|SB_CSR|hart %0d csr 'h%03h holds 'h%08h at the en|DESIGN|csr: predicted value vs hardware|
tb/uvm/sb/sb_csr.sv|SB_CSR|%0d CSR instructions retired but none read|VACUOUS||
tb/uvm/sb/sb_retire.sv|SB_RETIRE|no cpu_cfg|STRUCT||
tb/uvm/sb/sb_retire.sv|SB_RETIRE|unsupported ref_model %s|STRUCT||
tb/uvm/sb/sb_retire.sv|SB_RETIRE|reference %0d failed to open '%s'|STRUCT||
tb/uvm/sb/sb_retire.sv|SB_RETIRE|hart %0d: reference could not step at DUT |REF||
tb/uvm/sb/sb_retire.sv|SB_RETIRE|reference could not step hart %0d at DUT %|REF||
tb/uvm/sb/sb_retire.sv|SB_RETIRE|LOAD VALUE MISMATCH with no sharing to exc|DESIGN|retire: architectural + memory comparison|
tb/uvm/sb/sb_retire.sv|SB_RETIRE|<no literal>|DESIGN|retire: architectural + memory comparison|m12,m15
tb/uvm/sb/sb_retire.sv|SB_RETIRE|hart0 matched only %0d (< %0d) -- comparis|VACUOUS||
tb/uvm/sb/sb_retire.sv|SB_RETIRE|hart1 matched only %0d (< %0d) -- comparis|VACUOUS||
tb/uvm/sb/sb_retire.sv|SB_RETIRE|ALL %0d load(s) had no reference value -- |REF||
tb/uvm/sb/sb_retire.sv|SB_RETIRE|%0d load deferrals exceeds the ceiling of |DESIGN|retire: load-deferral ceiling|m10,m16
tb/uvm/sb/sb_retire.sv|SB_RETIRE|compared %0d instructions and checked ZERO|VACUOUS||
tb/uvm/sb/sb_retire.sv|SB_RETIRE|no tohost store observed -- the run ended |VACUOUS||
tb/uvm/ref/ref_spike.sv|REF_SPIKE|spike_open failed for '%s' -- check the im|REF||
tb/uvm/ref/ref_spike.sv|REF_SPIKE|set_hart(%0d) with only %0d harts|STRUCT||
tb/uvm/ref/ref_spike.sv|REF_SPIKE|step() before a successful open()|STRUCT||
tb/uvm/ref/ref_spike.sv|REF_SPIKE|hart %0d did not retire (spike_step return|REF||
tb/uvm/ref/ref_spike.sv|REF_SPIKE|hart %0d retired an instruction making %0d|REF||
tb/uvm/txn/irq_txn.sv|IRQ_TXN|do_copy: type mismatch|STRUCT||
tb/uvm/txn/mem_txn.sv|MEM_TXN|do_copy: type mismatch|STRUCT||
tb/uvm/txn/rvfi_txn.sv|RVFI_TXN|do_copy: type mismatch|STRUCT||
tb/uvm/txn/snoop_txn.sv|SNOOP_TXN|do_copy: type mismatch|STRUCT||
tb/uvm/txn/sys_txn.sv|SYS_TXN|do_copy: type mismatch|STRUCT||
tb/uvm/test/cpu_test_lib.sv|?|cpu_cfg randomize() FAILED -- continuing o|STRUCT||
tb/uvm/test/cpu_test_lib.sv|?|no sys_vif: cannot time the run|STRUCT||
tb/uvm/test/cpu_test_lib.sv|?|no tohost after %0d cycles: ending so the |DESIGN|test: run did not terminate|floor-timeout
